行政區,型式,停車場名稱,停車場位置,座標-經度,座標-緯度,大型車,小型車,機車,腳踏車,收費標準,備  註
楠梓區,平面,歡樂17,軍校路&後昌路837巷口旁,120.2929517,22.71027069,,36,22,,小型車計時15元/半小時,竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:107.6.1-112.5.31
楠梓區,平面,廣昌,右昌忠義9巷&廣昌街113巷,120.2854343,22.70588038,,57,68,,計次30元/6小時,國雲科技股份有限公司/服務電話：0800-779979/履約期間:106.5.1-111.4.30
楠梓區,平面,立民,立民路、立仁路,120.336768,22.742243,,32,,,計次30元/6小時(08：00~20：00),
楠梓區,平面,常德,常順路、常德街32巷,120.336679,22.731953,,30,,,計次30元/6小時(08：00~20：00),
楠梓區,平面,常順,常順路32巷、當興街115巷,120.337002,22.732167,,78,,,計次30元/6小時(08：00~20：00),
楠梓區,平面,青埔,青埔街50巷,120.323657,22.729683,,39,16,,計次30元/6小時(08：00~20：00),
楠梓區,平面,清豐,土庫二路與清豐三路口,120.3272898,22.7375875,,44,92,,計次30元/6小時(08：00~20：00),
楠梓區,平面,楠梓運動場,東寧路、楠裕街口,120.331818,22.732346,,143,,,計次30元/6小時(08：00~20：00),
楠梓區,平面,樂群,樂群路、加宏路,120.296781,22.71847,,34,,,計次30元/6小時(08：00~20：00),
楠梓區,平面,三山,三山街、福興街,120.282675,22.715993,,99,,,計次30元/6小時(08：00~20：00),
楠梓區,平面,惠民,惠民路、壽豐路間,120.294092,22.723361,,63,68,,計次30元/6小時(08：00~20：00),
楠梓區,平面,大昌,右昌街79巷、右昌街79巷132弄交叉口,120.288766,22.707539,,13,,,計次30元/6小時(08：00~20：00),
楠梓區,平面,加昌,加昌路、軍校路880巷31弄,120.292831,22.712932,,96,,,計次30元/6小時(08：00~20：00),
楠梓區,平面,智昌,智昌街、勇昌街,120.2877,22.720846,,83,,,計次30元/6小時(08：00~20：00),
楠梓區,平面,後昌,後昌路862-1號旁,120.2945235,22.7124235,,13,10,,計時15元/半小時(08：00~22：00),
楠梓區,平面,德中,德中路73巷─大學33街,120.277465,22.721873,,24,,,計次30元/6小時(08：00~20：00),
左營區,立體,海功,海功路57號,120.297248,22.6935281,,519,,,計時20元、月票1200元,竑穗興業股份有限公司/服務電話：(07)5820597/履約期間:107.1.1-111.12.31
左營區,立體,福山,重信路35號,120.3165362,22.6835269,,463,,,現行費率：5元/30分鐘；月票1200元,詮營股份有限公司/服務電話：02-77310361/履約期間:109.4.1-114.3.31
左營區,平面,微笑,自由三路161號對面,120.311184,22.671386,,145,,,小型車計次30元/6小時,日月亭股份有限公司/服務電話：(07)350-4375/履約期限:109.10.1-114.9.30
左營區,平面,富民,富民路&太原街口旁,120.305613,22.667631,,40,,,小型車計時15元/半小時,竑穗興業股份有限公司/服務電話:(07)223-9489/履約期間:107.6.1-112.5.31
左營區,平面,龍華,大順一路&龍德新路口旁,120.3109539,22.65595677,,75,,,小型車計次30元/6小時,竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.10.1-113.7.31
左營區,平面,曾子,自由三路與曾子路路口,120.3127692,22.67659894,,37,,,小型車計次30元/6小時,台灣普客二四股份有限公司/服務電話:0800-888924/履約期間:109.1.1-113.12.31
左營區,平面,東門,翠華路601巷&城峰路口旁,120.2901122,22.67427895,,42,,,小型車計次30元/6小時,翔赫企業有限公司/服務電話:0937626880/履約期間:108.5.1-113.4.30
左營區,平面,高雄新左營站前,站前路&站前南路口,120.3052055,22.68693839,25,248,500,,"機車每日每次15元
小型車計時15元/半小時
大型車計時30元/半小時",台灣普客二四股份有限公司/服務電話:0800-888924/履約期間:104.11.23-109.11.22
左營區,平面,左營哈囉市場,左營大路&左營大路672巷&菜公路與左營下路,120.2986297,22.69175385,,166,,,計次30元/6小時,106年12月1日起更名為高雄左營大路停車場/台灣普客二四股份有限公司/服務電話:0800-888924/履約期間:106.12.1-112.11.30
左營區,平面,華夏,華夏路、曾子路,120.305962,22.680966,,36,,,計時15元/半小時(08：00~20：00),
左營區,平面,文水,文水路、華夏路,120.306211,22.681092,,93,,,計時15元/半小時(08：00~20：00),
左營區,平面,辛亥,裕誠路、辛亥路,120.310052,22.664795,,43,,,計時15元/半小時(08：00~20：00),
左營區,平面,環潭,環潭路332之1號旁,120.299988,22.686159,,32,,,計次30元/6小時(08：00~20：00),
左營區,平面,海光,勝利路、新莊仔路口,120.292626,22.67869,40,73,71,,"大型車：計次60元/6小時(08：00~20：00)
小型車：計次30元/6小時(08：00~20：00)",
左營區,平面,舊左營國中,新庄子路、勝利路,120.293234,22.677951,,142,,,計次30元/6小時(08：00~20：00),
左營區,平面,榮光,榮光街、榮總路,120.321603,22.684962,,26,28,,計時15元/半小時(08：00~20：00),
左營區,平面,左營北站,左營大路、進學路,120.2953806,22.69046511,,54,,,計次30元/6小時(08：00~20：00),
左營區,平面,果貿市場,翠華路、中華一路,120.288109,22.668348,,13,,,計次30元/6小時(08：00~20：00),
鼓山區,立體,美術館(立體),美術館路82號,120.285431,22.6556614,,333,,,計次30元、月票1200元,服務電話：(07)522-4374
鼓山區,平面,美術館(平面),美術館路82號,120.283488,22.655096,,89,,,計次30元/6小時(08：00~20：00),
鼓山區,平面,華泰,華泰路&華泰路211巷路口,120.2930239,22.66956155,,32,,,小型車計時15元/半小時,竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:106.12.26-111.12.25
鼓山區,平面,前峰,內惟路&銘傳路口旁,120.2823376,22.66670309,,65,,,小型車計次30元/6小時,和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:108.7.1-111.9.30
鼓山區,平面,河川,河川街&綠川街口,120.283772,22.635222,,22,11,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,濱海,濱海二路&臨海二路,120.2698125,22.62397514,,26,36,,"平日：計時15元/半小時
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,臨海二路,臨海二路&捷興街口,120.2744667,22.62133561,,12,30,,"平日：計時15元/半小時
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,哨船,哨船街85號&哨船街80-3號,120.2692155,22.62357496,,21,9,,"平日：計時15元/半小時
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,龍德,龍德新路&新德路口,120.304694,22.654402,,39,,,"平日：計時15元/半小時
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,南鼓山,臨海二路&捷興二街,120.2746308,22.62162407,,28,,,"平日：計時15元/半小時
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,聯合醫院,美術館路、美術東四路,120.2904443,22.65491324,,178,184,22,計時15元/半小時(08：00~20：00),
鼓山區,平面,廣三,鼓山一路,120.2744213,22.62061284,,9,,,平日計次收費30元/6小時(08：00~20：00)，週六、日及國定假日計時收費15元/半小時(08：00~20：00),
鼓山區,平面,厚泰,九如四路、厚安街口,120.279546,22.645825,,61,,,不收費,
鼓山區,平面,裕興,中華一路29巷20弄、近中華一路,120.290198,22.667319,,6,,,計次30元/6小時(08：00~20：00),
三民區,立體,十全,十全路6號,120.3146421,22.6450866,,208,,,計時30元,日月亭股份有限公司/(07)3807433/履約期間109.1.21-114.1.20
三民區,平面,民族一路,民族一路、九如二路(民族陸橋下西側),120.31379,22.639833,,110,12,,小型車計時15元/半小時,日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.10.1-114.9.30
三民區,平面,臥龍,九如一路&臥龍路口旁,120.329919,22.63833683,,28,,,小型車計時15元/半小時,竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.8.1-113.7.31
三民區,平面,明仁,明仁路&明吉路口旁,120.313188,22.662663,,111,,,小型車計時15元/半小時,日月亭股份有限公司/服務電話:(07)7161838/履約期間:107.12.1-110.11.30
三民區,平面,陽明,陽明路&義華路口旁,120.3421973,22.64293258,,48,,,小型車計時15元/半小時,寶盛國際股份有限公司/服務電話:(02)26550818/履約期間:108.6.1-113.5.31
三民區,平面,正興,正興路&正興路163巷口旁,120.3196891,22.64656119,,139,46,,小型車計次30元/6小時,竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.3.1-113.3.31
三民區,平面,澄東,文安南街&褒揚東街口旁,120.3463819,22.64029084,,127,,,小型車計時15元/半小時,寶盛國際股份有限公司/服務電話:(02)26550818/履約期間:108.6.1-113.5.31
三民區,平面,寶華,陽明路16巷內,120.3420228,22.63744661,,91,46,,小型車計時15元/半小時,台灣普客二四股份有限公司/服務電話::0800-888924/履約期間：109.1.1-113.12.31
三民區,平面,本和,鼎勇街&大園街口旁,120.3252424,22.65744835,,75,,,小型車計次30元/6小時,日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.11.1-112.5.31
三民區,平面,本和第二,鼎勇街&鼎文街口旁,120.3243948,22.65758696,,78,,,小型車計次30元/6小時,俥亭停車事業股份有限公司/服務電話:(07)7161838履約期間：105.8.1-110.7.31
三民區,平面,金鼎,金山路&金山路18巷,120.326025,222.66334,,36,,,小型車計次30元/6小時,日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.11.1-112.5.31
三民區,平面,皓東,正忠路&皓東路17巷口,120.331212,22.648507,,89,,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
三民區,平面,金獅湖,鼎金一巷,120.328285,22.665892,,37,45,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
三民區,平面,鼎泰,裕誠路、鼎瑞街,120.3151392,22.66385845,,62,,,計時15元/半小時,
三民區,平面,金山,金山路、金山路360巷,120.31869,22.661921,,8,25,,計時15元/半小時(08：00~20：00),
三民區,平面,三鳳中街機車,三民派出所旁,120.292357,22.63696,,,136,40,不收費,
三民區,平面,三民二號公園,同協路、安東街口,120.2956341,22.64842192,,51,31,,計次30元/6小時(08：00~20：00),
仁武區,平面,竹後,水管路北側、竹後社區活動中心旁,120.3372359,22.70640962,,36,,,小型車計次30元/6小時,和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:109.4.1-114.3.31
仁武區,平面,澄觀,八德西路&京富路口旁(澄觀派出所旁),120.3309742,22.67713159,149,10,,,大型車計次60元/6小時；小型車計次30元/6小時,蔚穩有限公司/服務電話:(07)3808719；0963066773/履約期間:107.7.1-112.6.30
仁武區,平面,八德大型車,八德南路&澄觀路口旁,120.3405261,22.68033621,79,,,,大型車計次60元/6小時,三裕運輸股份有限公司/服務電話:(07)3753816/履約期間:106.3.1-111.2.28
仁武區,平面,八德小型車,八德南路與京吉一路口,120.340232,22.68097,,122,,,計次30元/6小時(08：00~20：00),
仁武區,平面,仁雄停十一,澄仁路口,120.345208,22.679218,,40,,,計次30元/6小時(08：00~20：00),
仁武區,平面,金鼎段停九,大豐路及大春路口,120336655,22.676219,,81,,,計次30元/6小時(08：00~20：00),
仁武區,平面,八卦里,永仁街、永新二街,120.332101,22.682962,,60,32,,計次30元/6小時(08：00~20：00),
仁武區,平面,澄德段停一,八德東路與京吉6路,120.34144,22.685134,,114,,,計次30元/6小時(08：00~20：00),
仁武區,平面,慈惠,赤仁路、仁孝路口,120.347985,22.675948,,59,,,計次30元/6小時(08：00~20：00),
仁武區,平面,仁和公園,仁和公園內,120.352465,22.680995,,55,,,計次30元/6小時(08：00~20：00),
仁武區,平面,澄合停九,八德東路旁,120.347113,22.68772,,59,,,計次30元/6小時(08：00~20：00),
仁武區,平面,仁慈公園,仁慈公園旁,120.359018,22.671833,,35,,,計次30元/6小時(08：00~20：00),
仁武區,平面,育才公21,慈惠六街,120.351436,22.674312,,119,,,不收費,
新興區,立體,財稅大樓,中正三路25號,120.309858,22.630674,,131,,,計時30元/月票：一般民眾全日2700元、一般民眾夜間1800元,服務電話：(07)229-1941
新興區,立體,忠孝,忠孝一路331號,120.306056,22.633395,,568,,,計時30元、月票1800元,日月亭股份有限公司/服務電話：(07)235-1637/履約期限:107.8.1-112.7.31
新興區,立體,民權輕鋼架,民權一路221號,120.311551,22.623527,,256,203,23,計時30元/月票：里民1500元、一般民眾日間2100元、一般民眾夜間600元,竑穗興業股份有限公司/服務電話：(07)229-2017/履約期間：105.11.1-110.10.31
新興區,平面,忠孝一路,中正三路&忠孝一路口旁,120.3061048,22.63091176,,40,7,,計時15元/半小時,日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.11.1-112.5.31
新興區,平面,復興二路,復興二路&近新田路,120.30846,22.62437,,100,,,計時15元/半小時,日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.11.1-112.5.31
新興區,平面,錦田機車,中正三路&錦田路口,120.310186,22.631477,,,124,,不收費,
前金區,立體,自強,文武一街65號,120.29344,22.631162,,305,,,計時30元、月票1800元,歐特儀股份有限公司/服務電話：07-2150135/履約期間：109.5.1-114.4.30
前金區,平面,六合夜市,六合二路&瑞源路口旁,120.297211,22.63133644,14,35,,,"大型車計時30元/半小時
小型車計時15元/半小時",日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.11.1-114.10.31
前金區,平面,新田,新田路&自強三路口,120.297696,22.620321,,26,,,"平日：計時15元/半小時
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
前金區,平面,自強三路,自強三路&光明街口,120.297242,22.620724,,50,86,,"平日：計時15元/半小時
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
前金區,平面,新田機車,新田路&自強三路,120.297696,22.620321,,,43,,不收費,
前金區,平面,林投機車,生興一巷&中正四路,120.293646,22.628138,,,139,,不收費,
鹽埕區,立體,鹽埕,大仁路10號,120.2863785,22.6249708,,931,,,現行費率：小型車15元/半小時、月票2100元,俥亭停車事業股份有限公司/服務電話:07-5314002/履約期間:108.10.1-112.9.30
鹽埕區,平面,公園,公園路&大義街口,120.285361,22.61966,30,346,251,,"小型車平日：計次50元/6小時
小型車假日：計時15元/半小時
大客車：計時30元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
苓雅區,立體,文化中心,五福一路67號,120.318888,22.627123,,830,,,計時30元/月票：里民2000元、全日2700元、一般日間1800元、一般夜間1800元,竑穗興業股份有限公司/服務電話：(07)225-3643/履約期間:108.7.1~113.6.30
苓雅區,立體,凱旋,凱旋二路130號,120.3240374,22.6251221,,559,,,計時20元、月票1200元,成佳財企業有限公司/服務電話：(07)716-6795/履約期間：105.4.1-110.3.31
苓雅區,立體,四維,苓雅一路226號,120.311083,22.621429,,819,982,16,計時30元/月票：里民1500元、一般民眾日間2100元、一般民眾夜間600元,服務電話：(07)335-5062
苓雅區,立體,武廟,輔仁路123號,120.3325775,22.62884786,,121,180,,現行費率：小型車15元/半小時、月票2700元；機車15元/次、月票300元,歐特儀股份有限公司/服務電話：07-7164421/履約期間：109.5.9-114.5.8
苓雅區,平面,英明,英明路&英明路163巷口,120.3243805,22.61735373,,96,32,,小型車計時15元/半小時,日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.11.1-114.10.31
苓雅區,平面,福德,建國一路&福德二路口,120.3280764,22.63287687,,35,55,,小型車計時15元/半小時,日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.11.1-114.10.31
苓雅區,平面,金馬,三多一路&輔仁路口,120.3337107,22.62371843,13,178,28,,"大型車計時30元/半小時
小型車計次30元/6小時",日月亭股份有限公司/服務電話:(07)7161838/履約期間:105.4.1-110.3.31
苓雅區,平面,"林德官
(ABCDEFGH區)",廣州一街&廣東一街3巷&三多二路&和平一路11巷&和平一路39巷,120.319217,22.618869,,200,118,,小型車計時15元/半小時,日月亭股份有限公司/服務電話:(07)716-1838/履約期間:109.10.1-114.9.30
苓雅區,平面,同慶,凱旋路&同慶路,120.3229281,22.62792413,,111,94,,小型車計次30元/6小時,日月亭股份有限公司/服務電話:(07)716-1838/履約期間:105.12.1-110.11.30
苓雅區,平面,正德,福德二路264巷&建國一路140巷25弄路口,120.3289,22.6353,,14,,,小型車計次30元/6小時,和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:109.9.16-114.9.15
苓雅區,平面,輔仁,輔仁路&輔仁路89巷,120.332024,22.625397,,27,46,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
苓雅區,平面,苓中,苓雅一路&文橫二路口,120.3050898,22.61904478,,69,47,,"平日：計時15元/半小時
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
苓雅區,平面,允文,允文街&永明街,120.294856,22.618606,,13,16,,一般格位：計時15元/半小時(08：00~22：00);高費率格位(08：00~22：00)：第1小時內每半小時25元、第2小時內每半小時50元、第3小時內每半小時50元，3個小時為一個循環計費；18時以後以半小時15元收費，停車時數未滿半小時者，以半小時計算收費，不同格位停車則另計時收費。,
苓雅區,平面,福裕,福德三路&福德三路133巷,120.327201,22.622703,,114,,,計次30元/6小時(08：00~20：00),
苓雅區,平面,建軍,三多一路&建軍路口,120.3422258,22.62615669,,46,22,80,計時15元/半小時(08：00~22：00),
苓雅區,平面,正憲,憲政路242巷&安康路20巷,120.321546,22.63712,,52,,,計次30元/6小時,
鳳山區,平面,五甲社區,國富路&國富路21巷口北側,120.350329,22.615336,,176,,,小型車計次30元/6小時,竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.4.1-113.3.31
鳳山區,平面,五甲,國光路65巷&國光路,120.35075,22.619419,,45,,,小型車計時15元/半小時,和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:109.10.1-114.9.30
鳳山區,平面,田中央,鳳頂路&田中央路口旁,120.359333,22.59458983,,28,10,,小型車計次30元/6小時,中工公寓大廈管理維護有限公司/服務電話:0800-618198/履約期間:108.8.19-113.8.31
鳳山區,平面,五甲七老爺,五甲二路105巷&五甲二路149巷口,120.3412139,22.60030879,22,77,,,"大型車計時30元/半小時
小型車計時15元/半小時",竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.7.31-113.7.31
鳳山區,平面,福誠,福誠三街&福誠五街,120.323369,22.593667,,46,52,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,國泰青年,光華路&協利街,120.348597,22.623721,,514,,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,鳳甲,鳳甲二街&過埤路口,120.343114,22.59635,,80,,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,中崙,中崙二路&中崙三路口,120.352514,22.603646,,150,,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,頂新,頂庄路&頂新五街旁,120.364971,22.588327,,26,,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,頂明,頂庄路&頂明路,120.355031,22.588619,,56,,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,南成,南和一路&和成路,120.338333,22.590557,,73,,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,鳳頂路,鳳頂路&過埤路口,120.3587152,22.59062548,,64,34,,計次30元/6小時(08：00~20：00),
鳳山區,平面,竹子腳,瑞竹路&瑞順街口,120.368627,22.628503,,17,,,計次30元/6小時(08：00~20：00),
鳳山區,平面,黃埔新村,中山東路&維武路,120.3646484,22.62039062,,49,,,計次30元/6小時(08：00~20：00),
鳳山區,平面,捷運鳳山機車,捷運鳳山站1號旁,120.356273,22.625852,,,172,10,不收費,
鳳山區,平面,鳳山國中機車,鳳山國中1號旁,120.3709329,22.62444263,,,301,174,不收費,
鳳山區,平面,五甲停二機車,國光路&國昌路口,120.353128,22.618451,,,42,,不收費 ,
鳳山區,平面,鳳山轉運站機車,鳳山轉運站北側&大東公園西側,120.364151,22.625697,,,102,,不收費 ,
鳳山區,平面,忠誠,鳳北路&鳳北路108巷&北榮街61巷,120.367006,22.641438,,20,10,,計次30元/6小時(08：00~20：00),
鳳山區,平面,鳳山行政中心西側,光復路二段&建軍路口旁,120.3422104,22.62951022,,317,186,,小型車計時15元/半小時,俥亭停車事業股份有限公司/服務電話:(07)7161838/履約期間:108.1.1-112.12.31
鳥松區,平面,永興,本華路&永善路口旁,120.3407514,22.6509873,,45,,,小型車計次30元/6小時,日月亭股份有限公司/服務電話:(07)7161838/履約期間:105.4.1-110.3.31
鳳山區,平面,北昌路,北昌二街&北昌路口,120.37243,22.645779,,106,67,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,鳳陽,瑞智街&瑞大街口,120.3700146,22.6316747,,37,20,,計次30元/6小時,阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳥松區,平面,勞工公園(勞一),長庚路北側,120.358506,22.650639,,198,292,,小型車計時15元/半小時,和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:109.4.1-114.3.31
鳥松區,平面,澄清湖西側,澄清湖風景區大門左側,120.349278,22.653542,,15,16,,計次30元/6小時(08：00~20：00),
鳥松區,平面,觀湖,公園路&近山明街(消防隊旁),120.360088,22.655457,,80,,,計次30元/6小時(08：00~20：00),
鳥松區,平面,育英,琅環二街&育成三街,120.358702,22.665936,,52,,,不收費,
鳥松區,平面,仁美,神農路&大同路(7-11對面斜坡),120.38101,22.657341,,25,10,,不收費,
鳥松區,平面,神農,江埤路&美德二街,120.390184,22.652168,,130,115,,不收費,
鳥松區,平面,仁倉,美山路156號旁&神農路,120.39165,22.64887,8,16,,,不收費,
前鎮區,立體,盛興,林森三路145號,120.308551,22.613565,,382,,,計時30元/月票：里民1700元、全日2700元、一般日間1800元、一般夜間1800元,服務電話：(07)331-5303
